"pinName","manufacturer","date","Type","estimatedValue","cabinet","displayType","url","rating","ratingsCount.href","ratingsCount.text","makeAndYear","index","gameDesign","artwork","sound","otherRating","staffRating","lowValue","highValue","avgValue","staffValue","age","nameLink"
"Medieval Madness","Williams Electronic Games, Inc.",1997,"Type Solid state","$7950 - $9250","Normal","Dot Matrix","https://pinside.com/pinball/archive/medieval-madness",8.858,"https://pinside.com/pinball/archive/medieval-madness/ratings","1634 ratings","Williams, 1997",1,9.024,8.735,8.406,8.942,9.172,7950,9250,8600,937.636284343655,19,"<a href=""https://pinside.com/pinball/archive/medieval-madness""target = _blank>Medieval Madness</a>"
"Twilight Zone","Bally Manufacturing Co.",1993,"Type Solid state","$5360 - $6240","Wide body","Dot Matrix","https://pinside.com/pinball/archive/twilight-zone",8.787,"https://pinside.com/pinball/archive/twilight-zone/ratings","1677 ratings","Bally, 1993",2,8.903,8.793,8.359,8.846,8.731,5360,6240,5800,664.299622036422,23,"<a href=""https://pinside.com/pinball/archive/twilight-zone""target = _blank>Twilight Zone</a>"
"Attack from Mars","Bally Manufacturing Co.",1995,"Type Solid state","$7120 - $8280","Normal","Dot Matrix","https://pinside.com/pinball/archive/attack-from-mars",8.714,"https://pinside.com/pinball/archive/attack-from-mars/ratings","1299 ratings","Bally, 1995",3,8.781,8.547,8.405,8.908,9.145,7120,8280,7700,841.990158556588,21,"<a href=""https://pinside.com/pinball/archive/attack-from-mars""target = _blank>Attack from Mars</a>"
"Monster Bash","Williams Electronic Games, Inc.",1998,"Type Solid state","$8140 - $9460","Normal","Dot Matrix","https://pinside.com/pinball/archive/monster-bash",8.71,"https://pinside.com/pinball/archive/monster-bash/ratings","1142 ratings","Williams, 1998",4,8.747,8.815,8.419,8.658,9.185,8140,9460,8800,958.083832335329,18,"<a href=""https://pinside.com/pinball/archive/monster-bash""target = _blank>Monster Bash</a>"
"Lord of the Rings","Stern Pinball, Inc.",2003,"Type Solid state","$5090 - $5910","Normal","Dot Matrix","https://pinside.com/pinball/archive/lord-of-the-rings",8.579,"https://pinside.com/pinball/archive/lord-of-the-rings/ratings","1420 ratings","Stern, 2003",5,8.732,8.339,8.3,8.658,9.29,5090,5910,5500,592.034445640474,13,"<a href=""https://pinside.com/pinball/archive/lord-of-the-rings""target = _blank>Lord of the Rings</a>"
"The Addams Family","Bally Manufacturing Co.",1992,"Type Solid state","$5180 - $6020","Normal","Dot Matrix","https://pinside.com/pinball/archive/addams-family",8.559,"https://pinside.com/pinball/archive/addams-family/ratings","1494 ratings","Bally, 1992",6,8.609,8.438,8.271,8.634,8.648,5180,6020,5600,647.548566142461,24,"<a href=""https://pinside.com/pinball/archive/addams-family""target = _blank>The Addams Family</a>"
"Indiana Jones: The Pinball Adventure","Williams Electronic Games, Inc.",1993,"Type Solid state","$4990 - $5810","Wide body","Dot Matrix","https://pinside.com/pinball/archive/indiana-jones",8.473,"https://pinside.com/pinball/archive/indiana-jones/ratings","1098 ratings","Williams, 1993",7,8.381,8.455,8.307,8.527,8.479,4990,5810,5400,636.867555136219,23,"<a href=""https://pinside.com/pinball/archive/indiana-jones""target = _blank>Indiana Jones: The Pinball Adventure</a>"
"AC/DC (Premium/LE)","Stern Pinball, Inc.",2012,"Type Solid state","$6570 - $7630","Normal","Dot Matrix","https://pinside.com/pinball/archive/ac-dc-(le)",8.452,"https://pinside.com/pinball/archive/ac-dc-(le)/ratings","881 ratings","Stern, 2012",8,8.515,7.695,8.752,8.572,8.401,6570,7630,7100,845.137483632901,4,"<a href=""https://pinside.com/pinball/archive/ac-dc-(le)""target = _blank>AC/DC (Premium/LE)</a>"
"Metallica (Premium/LE)","Stern Pinball, Inc.",2013,"Type Solid state","$7210 - $8390","Normal","Dot Matrix","https://pinside.com/pinball/archive/metallica-le",8.449,"https://pinside.com/pinball/archive/metallica-le/ratings","485 ratings","Stern, 2013",9,8.338,8.549,8.295,8.446,8.832,7210,8390,7800,883.152173913043,3,"<a href=""https://pinside.com/pinball/archive/metallica-le""target = _blank>Metallica (Premium/LE)</a>"
"Scared Stiff","Bally Manufacturing Co.",1996,"Type Solid state","$5090 - $5910","Normal","Dot Matrix","https://pinside.com/pinball/archive/scared-stiff",8.435,"https://pinside.com/pinball/archive/scared-stiff/ratings","937 ratings","Bally, 1996",10,8.333,8.719,8.068,8.41,8.472,5090,5910,5500,649.197355996223,20,"<a href=""https://pinside.com/pinball/archive/scared-stiff""target = _blank>Scared Stiff</a>"
"Metallica (Pro)","Stern Pinball, Inc.",2013,"Type Solid state","$4440 - $5160","Normal","Dot Matrix","https://pinside.com/pinball/archive/metallica",8.431,"https://pinside.com/pinball/archive/metallica/ratings","428 ratings","Stern, 2013",11,8.312,8.471,8.083,8.4,8.779,4440,5160,4800,546.759311994532,3,"<a href=""https://pinside.com/pinball/archive/metallica""target = _blank>Metallica (Pro)</a>"
"Theatre of Magic","Bally Manufacturing Co.",1995,"Type Solid state","$4720 - $5480","Normal","Dot Matrix","https://pinside.com/pinball/archive/theatre-of-magic",8.426,"https://pinside.com/pinball/archive/theatre-of-magic/ratings","1196 ratings","Bally, 1995",12,8.557,8.57,7.973,8.446,8.311,4720,5480,5100,613.644567440741,21,"<a href=""https://pinside.com/pinball/archive/theatre-of-magic""target = _blank>Theatre of Magic</a>"
"Tales of the Arabian Nights","Williams Electronic Games, Inc.",1996,"Type Solid state","$6100 - $7100","Normal","Dot Matrix","https://pinside.com/pinball/archive/tales-of-the-arabian-nights",8.426,"https://pinside.com/pinball/archive/tales-of-the-arabian-nights/ratings","1015 ratings","Williams, 1996",13,8.338,8.722,8.133,8.38,8.966,6100,7100,6600,736.114209234887,20,"<a href=""https://pinside.com/pinball/archive/tales-of-the-arabian-nights""target = _blank>Tales of the Arabian Nights</a>"
"Spider-Man","Stern Pinball, Inc.",2007,"Type Solid state","$4900 - $5700","Normal","Dot Matrix","https://pinside.com/pinball/archive/spiderman",8.421,"https://pinside.com/pinball/archive/spiderman/ratings","926 ratings","Stern, 2007",14,8.655,8.092,7.98,8.614,9.124,4900,5700,5300,580.885576501534,9,"<a href=""https://pinside.com/pinball/archive/spiderman""target = _blank>Spider-Man</a>"
"Star Trek: The Next Generation","Williams Electronic Games, Inc.",1993,"Type Solid state","$4070 - $4730","Wide body","Dot Matrix","https://pinside.com/pinball/archive/star-trek-the-next-generation",8.41,"https://pinside.com/pinball/archive/star-trek-the-next-generation/ratings","1044 ratings","Williams, 1993",15,8.491,8.083,8.364,8.422,8.389,4070,4730,4400,524.496364286566,23,"<a href=""https://pinside.com/pinball/archive/star-trek-the-next-generation""target = _blank>Star Trek: The Next Generation</a>"
"Star Trek LE / Premium","Stern Pinball, Inc.",2013,"Type Solid state","$6940 - $8060","Normal","Dot Matrix","https://pinside.com/pinball/archive/star_trek_le",8.354,"https://pinside.com/pinball/archive/star_trek_le/ratings","445 ratings","Stern, 2013",16,8.387,7.976,8.012,8.638,8.535,6940,8060,7500,878.734622144112,3,"<a href=""https://pinside.com/pinball/archive/star_trek_le""target = _blank>Star Trek LE / Premium</a>"
"Cirqus Voltaire","Bally Manufacturing Co.",1997,"Type Solid state","$6470 - $7530","Normal","Dot Matrix","https://pinside.com/pinball/archive/cirqus-voltaire",8.335,"https://pinside.com/pinball/archive/cirqus-voltaire/ratings","830 ratings","Bally, 1997",17,8.301,8.668,7.832,8.278,8.52,6470,7530,7000,821.596244131455,19,"<a href=""https://pinside.com/pinball/archive/cirqus-voltaire""target = _blank>Cirqus Voltaire</a>"
